severity,finding,surface,player_id,name,position,field,ours,published,note
3,source absence rendered as a number,draft-board,17442,Harold Perkins Jr.,LB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17442,Harold Perkins Jr.,LB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17465,A.T. Perry,WR,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17465,A.T. Perry,WR,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17802,Ja'Lynn Polk,WR,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17802,Ja'Lynn Polk,WR,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17830,D'Angelo Ponds,CB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17830,D'Angelo Ponds,CB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17866,Daryl Porter,CB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17866,Daryl Porter,CB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17945,Antwaun Powell-Ryland,LB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17945,Antwaun Powell-Ryland,LB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18003,Jadarian Price,RB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18003,Jadarian Price,RB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18021,Toriano Pride Jr.,CB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18021,Toriano Pride Jr.,CB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18082,Karon Prunty,CB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18082,Karon Prunty,CB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18086,Kendric Pryor,WR,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18086,Kendric Pryor,WR,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18092,Ephesians Prysock,CB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18092,Ephesians Prysock,CB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18222,Ennis Rakestraw Jr.,CB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18222,Ennis Rakestraw Jr.,CB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18231,Jose Ramirez,LB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18231,Jose Ramirez,LB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18239,Kamari Ramsey,S,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18239,Kamari Ramsey,S,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18247,Adam Randall,RB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18247,Adam Randall,RB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18274,Caleb Ransaw,S,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18274,Caleb Ransaw,S,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18281,Eli Raridon,TE,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18281,Eli Raridon,TE,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18351,Jalen Reagor,WR,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18351,Jalen Reagor,WR,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18456,Arvell Reese,LB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18456,Arvell Reese,LB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18467,Otis Reese,LB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18467,Otis Reese,LB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18480,Albert Regis,DT,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18480,Albert Regis,DT,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18513,Winston Reid,LB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18513,Winston Reid,LB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
